surveyname,questiontext,scaletype,varname,option1,option2,option3,option4,option5,option6,option7
mfq,Caring for people who have suffered is an important virtue.,radiogroup,mfq_1,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I believe that compassion for those who are suffering is one of the most crucial virtues.,radiogroup,mfq_2,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,We should all care for people who are in emotional pain.,radiogroup,mfq_3,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I am empathetic toward those people who have suffered in their lives.,radiogroup,mfq_4,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,Everyone should try to comfort people who are going through something hard.,radiogroup,mfq_5,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,It pains me when I see someone ignoring the needs of another human being.,radiogroup,mfq_6,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,The world would be a better place if everyone made the same amount of money.,radiogroup,mfq_7,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,Our society would have fewer problems if people had the same income.,radiogroup,mfq_8,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I believe that everyone should be given the same quantity of resources in life.,radiogroup,mfq_9,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I believe it would be ideal if everyone in society wound up with roughly the same amount of money.,radiogroup,mfq_10,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,"When people work together toward a common goal, they should share the rewards equally, even if some worked harder on it.",radiogroup,mfq_11,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I get upset when some people have a lot more money than others in my country.,radiogroup,mfq_12,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I think people who are more hard-working should end up with more money.,radiogroup,mfq_13,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I think people should be rewarded in proportion to what they contribute.,radiogroup,mfq_14,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
